Parametros,Rodada,Acuracia,F1ScoreMacro,TempoProcessamento,DataExecucao,Estatisticas
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",0,0.77,0.6063229627515341,0.05606484413146973,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",1,0.75,0.5956932773109243,0.06810450553894043,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",2,0.69,0.47395848595848594,0.07843637466430664,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",3,0.84,0.7057198357198358,0.07449579238891602,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",4,0.83,0.6582728006456819,0.06553220748901367,2024-02-24 22:30:02,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",5,0.79,0.6396135265700482,0.07723069190979004,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",6,0.72,0.5634397808310853,0.0701749324798584,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",7,0.84,0.6559163059163059,0.0886075496673584,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",8,0.75,0.5895437054527963,0.0691995620727539,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": null}",9,0.82,0.6976580796252926,0.09920620918273926,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",0,0.85,0.6972914472914472,0.08233141899108887,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
"{""method"": ""termfrequency"", ""ngram_range"": [1, 2], ""norm"": ""l2""}",1,0.79,0.6358070500927644,0.06710457801818848,2024-02-24 22:30:03,"{""quantidade_registros_treino"": 900, ""quantidade_registros_teste"": 100}"
